Data:,"Trade in goods, by main world traders"
Unit:,Million EUR and %
Type:,Exports in million of ECU/EURO
Source of Data:,Eurostat
Last update:,19.03.2018
Date of extraction:,22 Mar 2018 11:45:57 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00018
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"The table shows the trade exchanges with the rest of the world of the main players in the world market. Imports are mesured cif (cost, insurance, freight) and expressed in value and %. Exports are measured fob (free on board) and expressed in value and %. The calculation of shares is based on a world trade excluding the intra-EU trade."
Code:,tet00018
