Data:,Share of trade with the EU28
Unit:,%
Type:,Share of imports from EU in total imports (%)
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 11:59:23 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00036
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,The table shows the share of trade exchanges with the EU28 (% of imports from the EU28 in the total imports and % of the exports to the EU28 in the total exports) of the Member States and of the main players in the world market.
Code:,tet00036
