Data:,"Trade unit value indices, by reporting country"
Unit:,Export unit value index (2010=100)
Type:,2010 = 100
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:12:36 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00028
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"Monthly raw data are processed at the most detailed level in order to calculate elementary unit-values defined by trade value/quantity. These unit-values are divided by the average unit-value of the previous year to obtain elementary unit-value indices, from which outliers are detected and removed. Elementary unit-value indices are then aggregated over countries and commodities, by using the Laspeyres, Paasche and Fisher formulae. Finally, the Fisher unit-value indices are chained back to the reference year (2000 = 100) and are used to approximate the import and export price movements."
Code:,tet00028
