Data:,"Extra-EU28 trade, by Member State, total product"
Unit:,Million EUR and %
Type:,Imports in million of ECU/EURO
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:21:25 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00055
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,The table shows the Member States' contribution (in value and %) to the extra-EU28 trade of the Union.
Code:,tet00055
