Data:,"Extra-EU28 trade, by product group"
Unit:,Million EUR and %
Type:,Trade balance in million ECU/EURO
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:21:51 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00062
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"The table shows the share of extra-EU28 trade by product group (SITC1), expressed in value terms and in % of the total flow."
Code:,tet00062
