Data:,"Extra-EU28 trade, by main partners, total product"
Unit:,Million EUR and %
Type:,Exports in million of ECU/EURO
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:33:03 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00035
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"The table shows the 20 main partners of the EU28 (according to the sum imports+exports), expressed in value terms and in % of the total flow."
Code:,tet00035
