Data:,"International trade of chemicals and related products (SITC 5), by reporting country"
Unit:,Million EUR
Type:,Exports in million of ECU/EURO
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:16:53 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00008
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"Imports are expressed in value terms and measured cif (cost, insurance, freight). Exports are expressed in value terms and measured fob (free on board). Balance = export - import"
Code:,tet00008
