Data:,"Extra-EU28 trade of machinery and transport equipment (SITC 7), by main partners"
Unit:,Million EUR
Type:,Imports in million of ECU/EURO
Source of Data:,Eurostat
Last update:,15.02.2018
Date of extraction:,22 Feb 2018 12:37:42 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00030
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"The table shows the 10 main partners of the EU28 for that product group (according to the sum imports+exports). Imports are expressed in value terms and measured cif (cost, insurance, freight). Exports are expressed in value terms and measured fob (free on board). Balance = export - import."
Code:,tet00030
